iter	Passed	Remaining
936	2151	144
937	2153	142
938	2154	139
939	2156	137
940	2158	135
941	2160	132
942	2161	130
943	2163	128
944	2165	126
945	2167	123
946	2168	121
947	2170	119
948	2172	116
949	2174	114
950	2175	112
951	2177	109
952	2179	107
953	2181	105
954	2183	102
955	2184	100
956	2186	98
957	2188	95
958	2189	93
959	2191	91
960	2193	89
961	2195	86
962	2197	84
963	2199	82
964	2200	79
965	2202	77
966	2204	75
967	2205	72
968	2207	70
969	2209	68
970	2210	66
971	2212	63
972	2214	61
973	2216	59
974	2218	56
975	2220	54
976	2221	52
977	2223	50
978	2225	47
979	2227	45
980	2229	43
981	2231	40
982	2233	38
983	2235	36
984	2236	34
985	2238	31
986	2240	29
987	2241	27
988	2244	24
989	2246	22
990	2248	20
991	2250	18
992	2251	15
993	2253	13
994	2255	11
995	2257	9
996	2258	6
997	2260	4
998	2262	2
999	2264	0
